# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
166,996,0.9999977815,1.0000002963,0.0000000000,4.1298642124e+11
167,156,0.9999990389,1.0000002963,0.0000000000,1.7654360011e+11
167,994,-0.9999996676,1.0000002963,0.0000000000,1.7654360011e+11
168,155,-1.0000002963,-0.9999990389,0.0000000000,2.5587342005e+10
168,993,0.9999977815,-0.9999990389,0.0000000000,2.5587342005e+10
169,283,0.0000000000,-0.9999990389,0.9999990389,3.2754920976e+11
169,881,0.0000000000,-0.9999990389,-0.9999990389,1.1059549655e+12
170,284,0.0000000000,1.0000002963,-1.0000002963,1.1947870728e+12
170,882,0.0000000000,1.0000002963,1.0000002963,4.1298642124e+11
171,282,0.0000000000,1.0000002963,0.9999990389,3.8228098852e+11
171,884,0.0000000000,1.0000002963,-0.9999990389,2.0210164798e+11
172,281,0.0000000000,-0.9999990389,-1.0000002963,3.8228098852e+11
172,883,0.0000000000,-0.9999990389,1.0000002963,2.1504569935e+10
173,280,0.9999990389,0.0000000000,-0.9999990389,1.9823557133e+11
173,878,-0.9999990389,0.0000000000,-0.9999990389,8.3120763698e+10
174,279,-1.0000002963,0.0000000000,1.0000002963,1.9823557133e+11
174,877,1.0000002963,0.0000000000,1.0000002963,3.8228098852e+11
175,277,0.9999990389,0.0000000000,1.0000002963,1.9823557133e+11
175,879,-0.9999990389,0.0000000000,1.0000002963,3.8228098852e+11
176,278,-1.0000002963,0.0000000000,-0.9999990389,4.1298642124e+11
176,880,1.0000002963,0.0000000000,-0.9999990389,4.1298642124e+11
177,285,-0.9999990389,0.9999990389,0.0000000000,2.0210164798e+11
177,887,-0.9999990389,-0.9999990389,0.0000000000,1.4275161493e+11
178,286,1.0000002963,-1.0000002963,0.0000000000,4.1298642124e+11
178,888,1.0000002963,1.0000002963,0.0000000000,4.1298642124e+11
179,288,1.0000002963,0.9999990389,0.0000000000,1.6095584075e+10
179,886,1.0000002963,-0.9999990389,0.0000000000,1.6095584075e+10
180,287,-0.9999990389,-1.0000002963,0.0000000000,7.9971085071e+10
180,885,-0.9999990389,1.0000002963,0.0000000000,1.1275237820e+12
181,271,-0.9999990389,0.0000000000,-1.0000002963,1.3734235627e+11
181,869,-0.9999990389,0.0000000000,1.0000002963,2.0919451260e+12
182,272,1.0000002963,0.0000000000,0.9999990389,1.1947870728e+12
182,870,1.0000002963,0.0000000000,-0.9999990389,4.1298642124e+11
183,270,1.0000002963,0.0000000000,-1.0000002963,3.8386525377e+10
183,872,1.0000002963,0.0000000000,1.0000002963,8.0302504667e+09
184,269,-0.9999990389,0.0000000000,0.9999990389,3.8386525377e+10
184,871,-0.9999990389,0.0000000000,-0.9999990389,3.8386525377e+10
